image,rot_x,rot_y,ref_x,ref_y,centroid_x,centroid_y,img_width,img_height,dist_rot_centroid,dist_ref_centroid,dist_rot_ref,dist_rot_centroid_pct,dist_ref_centroid_pct,dist_rot_ref_pct
13,414,357,432,405,406.189283416326,358.800890627305,752,647,8.01564099757403,52.9202305115254,51.2640224719052,0.808008209836583,5.33456784463007,5.16761554554189
14,399,352,399,333,437.462445185734,363.144927046097,937,782,40.0445887546419,48.8679477395981,19,3.28113881670164,4.00409956020228,1.55680553742994
15,399,382,399,382,381.969421585242,381.959044225047,759,761,17.0306276606801,17.0306276606801,0,1.58453445817971,1.58453445817971,0
19,365,334,400,316,376.459544720172,348.040567953057,693,702,18.1234299633932,39.7586598055826,39.3573373083089,1.83726645566747,4.03054234935863,3.98985819831023
1_amborellaceae,304,363,320,328,336.274783116454,312.405057254318,638,689,60.0125808197995,22.5404260103642,38.4837628097877,6.39095670817144,2.40041146119902,4.09827504041865
22,339,348,339,317,345.751957952229,321.994659334522,675,631,26.8675767295125,8.39854499640255,31,2.90772937070458,0.908928118195302,3.35495870726699
23,392,352,431,389,396.94947178131,359.657747505311,782,739,9.11802433474969,44.9489293914088,53.7587202228625,0.847447975974395,4.17764614750956,4.99644626634891
24,386,316,347,353,367.601476635045,330.454939940666,769,744,23.3976697707071,30.5401468991764,53.7587202228625,2.18670097433774,2.85422307585754,5.02418604256292
25,396,339,378,339,383.832964674545,335.360877116746,688,615,12.6996048745735,6.87507761802861,18,1.37619598743051,0.745019575384391,1.95057468467744
3_cabombaceae,359,316,359,302,350.580539372299,300.638534366431,651,574,17.5174753795378,8.52882793429413,14,2.01833923277492,0.98267973303278,1.61306059501334
4_nymphaeaceae,378,362,417,420,411.296651589128,391.27818034956,793,762,44.3382323917989,29.2826075875799,69.8927750200262,4.03159312316907,2.66261312213208,6.3552202225829
5_austrobaileyaceae,408,411,428,448,398.210713750859,381.28246175762,813,746,31.2883717130655,73.0659392901833,42.0594816896262,2.83564038483572,6.62190829574809,3.81181756398525
7_schisandraceae,394,400,413,346,397.682031024586,356.301071129028,750,728,43.8537767693533,18.4594756138156,57.2450871254468,4.19565199645131,1.76608587488124,5.47684787442886
320,333,362,333,362,339.140713871991,371.597248893947,699,721,11.3936628522189,11.3936628522189,0,1.13458725734953,1.13458725734953,0
321,84,94,84,117,86.0039907371761,94.9046913628921,175,186,2.19873721412521,22.1860010511976,23,0.860953310576573,8.68730966610009,9.00604493163117
323,287,297,287,283,283.665573017477,298.158582986499,545,563,3.52997419797741,15.5209871290574,14,0.450494473272063,1.98078471094024,1.78667669282755
324,376,369,358,408,364.464461425587,366.907436409246,716,775,11.723799409028,41.5979331696062,42.9534631898291,1.11113283244045,3.94247868748253,4.07095017170704
325,384,415,384,396,382.663254920156,422.72197562541,766,789,7.83682301496638,26.7553895268499,19,0.712651399688123,2.43303514180387,1.72778899921762
326,340,306,323,306,348.674093418083,331.214138803052,678,680,26.6644462197357,35.9848838878214,17,2.77681742131439,3.74744150545004,1.77036851893834
329,79,87,88,87,87.5407452501318,80.8376973563807,176,182,10.5317758853484,6.17939226759674,9,4.15980137417342,2.44071320223077,3.55478627490014
330,366,356,366,356,361.373669034233,381.954673185913,729,789,26.3637629786109,26.3637629786109,0,2.45420956637431,2.45420956637431,0
334,308,340,308,340,314.491784386818,334.014859033427,613,677,8.82978917725006,8.82978917725006,0,0.966811470685229,0.966811470685229,0
335,392,414,372,301,396.09108833671,387.354757301648,784,752,26.9574843454063,89.6522428379447,114.756263445618,2.48146935556919,8.25259844019228,10.5634541951779
336,422,389,422,352,410.407735757728,376.840544715646,804,739,16.7997899711532,27.4122828679533,37,1.53839521720056,2.51020548048633,3.38817468159772
339,366,379,366,360,381.101530693454,402.115178325281,770,755,27.6110068323285,44.7408591184343,19,2.56039157805105,4.14885699667719,1.7618857681789
340,409,382,409,436,415.290742367823,384.869986727409,778,725,6.91449660885232,51.5155481072817,54,0.650199659644638,4.8442270985973,5.0778507253673
